sample_id,time_slot,Load1_mw,Load2_mw,Load3_mw,Load4_mw,Load5_mw,Load6_mw,Load7_mw,Load8_mw,Load9_mw,Load10_mw,Load11_mw,Load12_mw,Load13_mw,Load14_mw,Load15_mw,Load16_mw,Load17_mw,Load18_mw,Load19_mw,Load20_mw,Load21_mw,Load22_mw,Load23_mw,Load24_mw,Load25_mw,Load26_mw,Load27_mw,Load28_mw,Load29_mw,Load30_mw,Load31_mw,Load32_mw,fixed_total_mw,PV_Bus6_irr,PV_Bus14_irr,PV_Bus19_irr,PV_Bus25_irr,PV_Bus31_irr,BESS_Bus18_se_init_mwh,BESS_Bus18_p_init_mw,EV_Bus19_cur,EV_Bus19_lb,EV_Bus19_ub,EV_Bus7_cur,EV_Bus7_lb,EV_Bus7_ub,AC_Bus2_cur,AC_Bus2_lb,AC_Bus2_ub
11,2:30,0.038204,0.031875,0.043044,0.022563,0.023524,0.071335,0.081695,0.019622,0.022166,0.020930,0.022646,0.025327,0.044709,0.023439,0.022026,0.021775,0.030638,0.034658,0.030399,0.035440,0.036834,0.034446,0.150625,0.162103,0.021468,0.024224,0.018095,0.042817,0.059140,0.047100,0.088106,0.024135,1.375109,0.000000,0.000000,0.000000,0.000000,0.000000,1.224190,0.000000,0.330104,0.228753,0.330104,0.349134,0.334358,0.489605,0.348541,0.281720,0.395960
12,2:45,0.034379,0.036211,0.051521,0.020003,0.020186,0.083703,0.072427,0.025262,0.021172,0.019031,0.022443,0.022724,0.051236,0.021351,0.020067,0.021158,0.034731,0.028025,0.035346,0.031438,0.037042,0.025272,0.142867,0.128913,0.020322,0.022701,0.021755,0.043181,0.072665,0.056506,0.069713,0.023718,1.337069,0.000000,0.000000,0.000000,0.000000,0.000000,1.059655,0.000000,0.393666,0.279565,0.495313,0.380144,0.323984,0.465114,0.357862,0.248915,0.420766
13,3:00,0.040243,0.035685,0.043597,0.020706,0.023367,0.075228,0.063147,0.022001,0.022732,0.015119,0.022573,0.018929,0.050224,0.024916,0.021593,0.022957,0.025220,0.029386,0.032252,0.029666,0.035602,0.039865,0.136819,0.142078,0.022674,0.025721,0.019444,0.045407,0.087288,0.046233,0.067600,0.021214,1.329485,0.000000,0.000000,0.000000,0.000000,0.000000,1.028813,0.000000,0.349980,0.291075,0.480539,0.303668,0.283075,0.442102,0.416253,0.252305,0.439330
14,3:15,0.038471,0.029011,0.047117,0.020733,0.019659,0.080538,0.076989,0.021167,0.025824,0.016169,0.022624,0.023158,0.042309,0.023614,0.021349,0.021623,0.038437,0.030308,0.025666,0.039277,0.042451,0.032457,0.127287,0.152961,0.021906,0.022123,0.020041,0.047718,0.079115,0.047954,0.084450,0.027181,1.369687,0.000000,0.000000,0.000000,0.000000,0.000000,1.200437,0.000000,0.382326,0.266557,0.469105,0.398988,0.228120,0.483685,0.361186,0.326837,0.467574
15,3:30,0.042891,0.033313,0.038136,0.022911,0.020880,0.073886,0.075881,0.019037,0.019243,0.018043,0.021752,0.017065,0.049506,0.023577,0.021313,0.019929,0.037305,0.035630,0.042630,0.035874,0.035762,0.033853,0.173783,0.170703,0.025824,0.021755,0.021952,0.043704,0.082555,0.065976,0.076644,0.021977,1.443289,0.000000,0.000000,0.000000,0.000000,0.000000,1.338636,0.000000,0.394539,0.275582,0.528464,0.296389,0.259169,0.444771,0.293766,0.255300,0.438366
16,3:45,0.035120,0.031837,0.049311,0.022834,0.024863,0.077731,0.083299,0.020934,0.023323,0.017144,0.020512,0.019700,0.049905,0.022532,0.020964,0.023127,0.038978,0.027038,0.029785,0.031794,0.040145,0.036017,0.176001,0.144822,0.020737,0.024397,0.023487,0.049265,0.076377,0.060002,0.083022,0.025167,1.430172,0.000000,0.000000,0.000000,0.000000,0.000000,1.206325,0.000000,0.379254,0.242343,0.379254,0.428174,0.323535,0.439260,0.316805,0.292051,0.534723
17,4:00,0.035567,0.042925,0.055982,0.026449,0.021564,0.085939,0.084234,0.024802,0.026719,0.018945,0.025509,0.025264,0.049121,0.019515,0.023950,0.022430,0.031067,0.041618,0.041786,0.040469,0.036536,0.040438,0.166457,0.169629,0.021154,0.024694,0.023894,0.041314,0.078765,0.058904,0.098071,0.025875,1.529586,0.000000,0.000000,0.000000,0.000000,0.000000,1.406403,0.000000,0.396303,0.303210,0.498042,0.387818,0.263826,0.488360,0.366316,0.258859,0.521199
18,4:15,0.041795,0.034303,0.044545,0.025840,0.025927,0.093984,0.092424,0.024649,0.021872,0.018137,0.025522,0.024475,0.047072,0.025611,0.023721,0.023411,0.038636,0.035963,0.038384,0.038493,0.033200,0.035666,0.199997,0.154537,0.019692,0.020329,0.025052,0.050113,0.082286,0.070031,0.064060,0.025969,1.525694,0.002083,0.001756,0.002057,0.001734,0.001773,1.424148,0.000000,0.481332,0.280650,0.496715,0.384980,0.288035,0.499479,0.475755,0.374446,0.498980
19,4:30,0.057565,0.042659,0.048709,0.028748,0.025260,0.083082,0.095298,0.026289,0.026938,0.019683,0.027090,0.027322,0.042263,0.027955,0.023634,0.022428,0.039082,0.039642,0.036586,0.042579,0.034036,0.037712,0.172726,0.182601,0.026939,0.023567,0.028106,0.052746,0.070832,0.052687,0.091615,0.025629,1.582008,0.003349,0.002624,0.002904,0.003208,0.003305,1.412188,0.000000,0.432283,0.335858,0.548908,0.473889,0.299378,0.473889,0.389044,0.346531,0.603629
20,4:45,0.045904,0.039872,0.060631,0.025582,0.025071,0.095835,0.077411,0.028506,0.027718,0.020274,0.031794,0.025729,0.066178,0.026818,0.023933,0.027628,0.036725,0.038061,0.042789,0.043441,0.038594,0.045218,0.214286,0.219640,0.028889,0.031177,0.022276,0.053129,0.083526,0.069409,0.090540,0.026981,1.733565,0.005413,0.005560,0.004646,0.005204,0.005744,1.706715,0.000000,0.543342,0.351211,0.580335,0.446654,0.359980,0.557610,0.477776,0.398909,0.649080
21,5:00,0.048786,0.046809,0.060144,0.032106,0.029494,0.092151,0.098759,0.020264,0.029763,0.013655,0.023725,0.029960,0.060068,0.025333,0.026624,0.032594,0.040916,0.052641,0.042989,0.044752,0.049950,0.043561,0.180542,0.198453,0.028563,0.024753,0.027932,0.053075,0.104382,0.071911,0.097490,0.028361,1.760505,0.005928,0.007161,0.007515,0.007262,0.007442,1.434696,0.000000,0.488410,0.401050,0.519992,0.427988,0.419479,0.553927,0.410060,0.394515,0.604521
22,5:15,0.051908,0.043852,0.057383,0.032771,0.034607,0.118522,0.113703,0.029816,0.031210,0.024344,0.030512,0.030541,0.065261,0.029968,0.027948,0.028897,0.048087,0.045234,0.046759,0.048251,0.043525,0.048640,0.219024,0.184971,0.034495,0.028637,0.025157,0.053993,0.090230,0.075761,0.102625,0.029132,1.875765,0.017492,0.019330,0.019578,0.017855,0.016624,1.874497,0.000000,0.533587,0.416128,0.621490,0.475456,0.427246,0.475456,0.484139,0.314707,0.604622
23,5:30,0.049932,0.047437,0.069496,0.029865,0.034177,0.112572,0.095364,0.034709,0.033838,0.023964,0.029218,0.028911,0.059857,0.033345,0.028606,0.033013,0.041552,0.046475,0.047964,0.059044,0.040909,0.054427,0.224721,0.230506,0.032003,0.033036,0.031143,0.072456,0.100617,0.088025,0.103568,0.031438,1.982191,0.028635,0.031693,0.035866,0.026358,0.032019,1.952915,0.000000,0.470641,0.446586,0.717781,0.523072,0.418740,0.557247,0.515063,0.359114,0.569899
24,5:45,0.054350,0.051815,0.066632,0.033477,0.031759,0.094939,0.093333,0.035274,0.032195,0.023353,0.033139,0.035743,0.067416,0.030939,0.037171,0.038340,0.052123,0.054502,0.055835,0.055279,0.052717,0.052638,0.243822,0.206343,0.035431,0.028622,0.030480,0.074854,0.119644,0.095090,0.112740,0.029296,2.059291,0.035613,0.037592,0.037791,0.037460,0.045320,2.005191,0.000000,0.538581,0.456460,0.656999,0.614412,0.435526,0.674797,0.497293,0.472198,0.652053
25,6:00,0.056249,0.041006,0.062999,0.033683,0.032220,0.131242,0.113408,0.039050,0.034806,0.026041,0.034286,0.034606,0.081078,0.026569,0.027669,0.032714,0.051965,0.055470,0.054344,0.049896,0.057177,0.057235,0.246608,0.265462,0.035536,0.032651,0.037007,0.069951,0.115325,0.099221,0.091401,0.029689,2.156567,0.047218,0.043369,0.039650,0.048427,0.044111,2.125620,0.000000,0.508109,0.459239,0.659324,0.489645,0.429602,0.618310,0.648693,0.562412,0.648693
26,6:15,0.049712,0.049206,0.072075,0.036810,0.036992,0.102735,0.128481,0.032668,0.037757,0.026604,0.030622,0.034387,0.073614,0.037686,0.035009,0.040949,0.058631,0.051897,0.057260,0.063564,0.063707,0.046723,0.225536,0.285477,0.031752,0.030813,0.033783,0.074003,0.117153,0.082998,0.115904,0.032980,2.197487,0.058964,0.055802,0.063393,0.081540,0.071680,2.503351,0.000000,0.604041,0.604041,0.712408,0.644306,0.467771,0.678960,0.549595,0.361407,0.596491
27,6:30,0.063205,0.058915,0.066289,0.038335,0.039080,0.114418,0.128214,0.038488,0.034424,0.024252,0.032113,0.036741,0.075234,0.033539,0.036523,0.038504,0.058017,0.063118,0.061616,0.049168,0.063838,0.051738,0.281624,0.256716,0.034925,0.029841,0.035801,0.061492,0.133165,0.104878,0.117331,0.037526,2.299068,0.090752,0.094529,0.093903,0.087057,0.101290,2.439548,0.000000,0.563061,0.475230,0.761865,0.604760,0.595318,0.673001,0.667770,0.512040,0.763369
28,6:45,0.065932,0.064623,0.085509,0.035942,0.038736,0.116713,0.124766,0.035103,0.043392,0.029025,0.036528,0.041800,0.058474,0.029821,0.040314,0.037568,0.057417,0.048584,0.055884,0.067236,0.060630,0.056964,0.249921,0.251083,0.029392,0.038305,0.040500,0.062917,0.116242,0.082551,0.118082,0.037542,2.257496,0.104076,0.127494,0.110034,0.122767,0.124672,2.798081,0.000000,0.554463,0.554463,0.776832,0.606747,0.392789,0.650396,0.697271,0.377260,0.697271
29,7:00,0.062471,0.059547,0.065155,0.042813,0.035349,0.120379,0.127246,0.032280,0.039134,0.031470,0.039380,0.032180,0.075571,0.041098,0.031074,0.034147,0.062419,0.058939,0.059753,0.068060,0.060077,0.061164,0.340410,0.262087,0.035206,0.039896,0.039939,0.072488,0.114364,0.117741,0.138283,0.035457,2.435575,0.133850,0.135214,0.137419,0.135673,0.153920,2.014942,0.000000,0.696054,0.531782,0.718996,0.673503,0.468192,0.763662,0.709899,0.562714,0.709899
30,7:15,0.070974,0.056574,0.081365,0.034786,0.044414,0.146961,0.143223,0.033266,0.042455,0.030594,0.032911,0.039109,0.081268,0.041385,0.039900,0.040347,0.067473,0.066017,0.041947,0.056940,0.057839,0.048504,0.277018,0.308703,0.034945,0.040524,0.035614,0.073141,0.149989,0.092694,0.143559,0.031869,2.486308,0.162719,0.184750,0.177171,0.184009,0.172598,2.642106,0.000000,0.739663,0.586764,0.739663,0.691019,0.475391,0.842506,0.632243,0.542119,0.716371
31,7:30,0.064115,0.073654,0.067710,0.045213,0.045643,0.122430,0.163670,0.044147,0.044050,0.030197,0.039278,0.039310,0.083437,0.045776,0.040878,0.036491,0.065191,0.065773,0.064168,0.064716,0.058594,0.054631,0.256653,0.235088,0.041102,0.039815,0.038384,0.056567,0.117142,0.111627,0.131187,0.041598,2.428237,0.214927,0.202348,0.196417,0.234504,0.202164,3.184204,0.000000,0.651063,0.651063,0.758097,0.701553,0.701553,0.885816,0.648660,0.535410,0.744135
32,7:45,0.069115,0.072650,0.085129,0.045054,0.038118,0.125292,0.143285,0.045159,0.041262,0.026857,0.035506,0.035231,0.067664,0.041546,0.045720,0.041041,0.047710,0.060468,0.060641,0.074565,0.052662,0.059236,0.336747,0.300618,0.043411,0.041567,0.042452,0.088584,0.125899,0.111762,0.124088,0.042446,2.571486,0.253070,0.208338,0.222871,0.221494,0.267557,2.752618,0.000000,0.697180,0.548888,0.783157,0.642297,0.522250,0.757181,0.609321,0.603819,0.694663
33,8:00,0.068586,0.066208,0.066366,0.041861,0.050440,0.141995,0.141092,0.044346,0.045807,0.025233,0.034969,0.042926,0.078073,0.047558,0.040717,0.033909,0.055067,0.045723,0.061587,0.061875,0.060386,0.069867,0.329566,0.289280,0.033067,0.044637,0.044377,0.086685,0.153894,0.092862,0.176705,0.038008,2.613672,0.261658,0.220276,0.246473,0.282772,0.278600,2.310919,0.000000,0.726214,0.499341,0.726214,0.806952,0.585028,0.867953,0.717303,0.594395,0.909903
34,8:15,0.066487,0.060758,0.082871,0.037090,0.040305,0.132912,0.154418,0.046487,0.042380,0.030991,0.043609,0.039495,0.076150,0.038964,0.040277,0.038003,0.065556,0.069218,0.054272,0.064673,0.063092,0.066714,0.300661,0.257290,0.037578,0.043134,0.047432,0.066969,0.148314,0.120309,0.148222,0.045374,2.570006,0.293557,0.276954,0.310042,0.312270,0.308335,2.884876,0.000000,0.666392,0.609425,0.684393,0.674936,0.674936,0.736334,0.684136,0.531273,0.701623
35,8:30,0.084851,0.058917,0.087462,0.048953,0.049533,0.125735,0.141997,0.049944,0.046207,0.033623,0.043015,0.042285,0.090480,0.042863,0.043785,0.044318,0.061486,0.069469,0.085181,0.054238,0.068096,0.060945,0.325580,0.309241,0.047323,0.049141,0.044819,0.097901,0.112213,0.127415,0.159676,0.048712,2.755404,0.322785,0.281027,0.346075,0.249955,0.350865,2.462990,0.000000,0.643473,0.580298,0.845030,0.731626,0.650790,0.923202,0.694506,0.694506,0.833565
36,8:45,0.075297,0.066603,0.100387,0.044135,0.041818,0.142204,0.168859,0.047348,0.043205,0.032906,0.037895,0.046683,0.074059,0.048316,0.045516,0.055664,0.059991,0.066715,0.079528,0.075437,0.062714,0.068916,0.314627,0.323434,0.041798,0.044536,0.037756,0.091090,0.156533,0.109789,0.131880,0.049380,2.785022,0.340857,0.369182,0.355156,0.391702,0.340983,2.504853,0.000000,0.776264,0.601847,0.825141,0.636568,0.582417,0.803304,0.840967,0.607461,0.903314
37,9:00,0.065932,0.065192,0.080339,0.047786,0.043765,0.189344,0.126421,0.046838,0.040725,0.032729,0.046552,0.035229,0.093980,0.054638,0.043822,0.047096,0.075912,0.067726,0.064854,0.053185,0.073268,0.068075,0.288781,0.325389,0.043224,0.043477,0.048686,0.079519,0.169035,0.098718,0.150014,0.054730,2.764980,0.334619,0.370804,0.426762,0.337498,0.383588,2.799559,0.000000,0.783689,0.671541,0.783689,0.724558,0.669923,0.868296,0.758098,0.662999,0.846505
38,9:15,0.078063,0.066783,0.106332,0.048669,0.040246,0.164772,0.142446,0.043649,0.047776,0.033033,0.050458,0.042735,0.086910,0.043282,0.043702,0.051414,0.073852,0.081365,0.085240,0.062322,0.069973,0.061311,0.299041,0.303825,0.041425,0.041450,0.045654,0.081372,0.167411,0.105178,0.207679,0.044231,2.861598,0.450203,0.420475,0.315025,0.375541,0.445145,3.457068,0.000000,0.777598,0.584986,1.020815,0.754591,0.691991,0.754591,0.788302,0.596673,0.999560
39,9:30,0.086543,0.058950,0.096302,0.051488,0.038990,0.155682,0.160072,0.045336,0.038084,0.033914,0.045212,0.046049,0.088216,0.044671,0.046556,0.048810,0.067978,0.067240,0.070760,0.056644,0.073457,0.070108,0.328489,0.358625,0.037614,0.037516,0.048021,0.093416,0.158456,0.111454,0.174464,0.051101,2.890217,0.510900,0.403276,0.431991,0.475029,0.444538,2.768459,0.000000,0.693754,0.661314,0.693754,0.838950,0.761983,0.935683,0.724777,0.724777,0.954668
40,9:45,0.081860,0.074835,0.095151,0.048196,0.045941,0.180441,0.143043,0.044391,0.047213,0.038479,0.040099,0.040981,0.075101,0.047315,0.041887,0.045347,0.075420,0.066203,0.072377,0.068624,0.075496,0.074102,0.307283,0.324558,0.052083,0.049016,0.040573,0.100505,0.140152,0.134556,0.181967,0.048528,2.901722,0.417736,0.382023,0.501619,0.552067,0.534134,2.638010,0.000000,0.798371,0.671673,0.946131,0.756869,0.702173,0.963267,0.741854,0.643741,0.780190
41,10:00,0.085048,0.081520,0.090813,0.048063,0.038026,0.162830,0.141732,0.048530,0.040152,0.037622,0.052455,0.043854,0.084341,0.037322,0.046312,0.044813,0.060300,0.074603,0.068159,0.063692,0.067412,0.079016,0.353141,0.328729,0.050526,0.042056,0.047734,0.096562,0.151148,0.124130,0.153533,0.050006,2.894181,0.543626,0.398270,0.548659,0.490283,0.434215,2.998191,0.000000,0.836762,0.490841,0.999294,0.650308,0.650308,0.984564,0.767839,0.591393,0.795329
42,10:15,0.071525,0.077870,0.102548,0.039562,0.045847,0.145504,0.179849,0.041325,0.055439,0.035712,0.042224,0.044539,0.087891,0.041686,0.048228,0.041909,0.056037,0.068942,0.058743,0.066272,0.065148,0.065419,0.401342,0.336312,0.048947,0.039288,0.044651,0.097607,0.142934,0.130283,0.147102,0.046407,2.917092,0.488764,0.551433,0.498705,0.495085,0.516097,3.742278,0.000000,0.749586,0.707691,0.838846,0.774680,0.679809,0.830430,0.834876,0.712848,0.888308
43,10:30,0.069234,0.077495,0.077777,0.049012,0.055526,0.167714,0.162628,0.045282,0.048119,0.035071,0.044200,0.046579,0.097843,0.044290,0.044102,0.041445,0.074766,0.075879,0.073622,0.078900,0.072587,0.074776,0.345993,0.332716,0.045424,0.058591,0.045802,0.089552,0.166840,0.122945,0.144309,0.053355,2.962373,0.536919,0.527016,0.493603,0.559251,0.553688,3.219798,0.000000,0.791969,0.621790,1.006431,0.849523,0.611045,1.059358,0.852171,0.698787,1.042540
44,10:45,0.073933,0.073186,0.095658,0.041742,0.041076,0.169624,0.118777,0.049154,0.045862,0.040850,0.045788,0.051341,0.092507,0.048713,0.051714,0.045937,0.079447,0.065068,0.074376,0.078913,0.077016,0.086093,0.311415,0.290656,0.043376,0.051346,0.050563,0.097315,0.142521,0.129647,0.147932,0.053747,2.865294,0.561155,0.566990,0.529370,0.536807,0.598939,3.220247,0.000000,0.955390,0.728502,0.955390,0.763186,0.575537,0.848340,0.715018,0.601062,1.058236
45,11:00,0.084877,0.071118,0.093411,0.041556,0.038796,0.156984,0.162111,0.042140,0.048193,0.036465,0.037934,0.043934,0.100659,0.050232,0.042781,0.049126,0.079957,0.078177,0.071849,0.069145,0.067975,0.075934,0.345125,0.359827,0.048998,0.052320,0.048817,0.104310,0.175238,0.111173,0.138655,0.055824,2.983639,0.575922,0.586022,0.591994,0.615394,0.575200,3.405179,0.000000,0.826687,0.584957,0.841328,0.859607,0.686255,0.859607,0.833687,0.632062,0.833687
46,11:15,0.078463,0.072951,0.097701,0.049370,0.052064,0.170046,0.161815,0.044420,0.048658,0.036147,0.049264,0.058995,0.091599,0.050372,0.053495,0.048804,0.089445,0.069755,0.074846,0.066705,0.069948,0.074301,0.366947,0.349111,0.054416,0.047872,0.046725,0.122799,0.167454,0.112134,0.157414,0.043775,3.077809,0.590504,0.525240,0.610218,0.528988,0.541694,2.937752,0.000000,0.880954,0.679805,0.917045,0.800397,0.757120,0.828839,0.721337,0.721337,0.959930
47,11:30,0.090977,0.077042,0.102447,0.054326,0.061887,0.133486,0.149117,0.045325,0.044192,0.032322,0.046854,0.042425,0.099840,0.048551,0.050625,0.050754,0.076821,0.069747,0.087820,0.074151,0.058958,0.065190,0.279262,0.338697,0.047713,0.046039,0.058015,0.101906,0.172696,0.109511,0.152164,0.048479,2.917338,0.614017,0.641582,0.561957,0.552589,0.604340,3.439638,0.000000,0.818953,0.574150,0.888707,0.806158,0.689856,0.831411,0.761591,0.692556,0.913243
48,11:45,0.076960,0.078131,0.106002,0.054508,0.056857,0.146966,0.161131,0.048327,0.047799,0.033854,0.041101,0.048720,0.089126,0.048687,0.044439,0.042964,0.074105,0.073501,0.076603,0.088236,0.074416,0.075921,0.301494,0.294420,0.055913,0.043814,0.043233,0.096167,0.159456,0.109789,0.163800,0.054207,2.910648,0.525704,0.581543,0.626097,0.446839,0.647132,2.856254,0.000000,0.739692,0.606348,0.989799,0.761425,0.660820,0.761425,0.744630,0.700683,1.009977
49,12:00,0.083074,0.074150,0.106951,0.050901,0.036774,0.148190,0.163032,0.047302,0.050547,0.039038,0.051178,0.047209,0.078671,0.046046,0.050252,0.042982,0.076933,0.078938,0.073283,0.050194,0.063116,0.086014,0.319244,0.270696,0.054202,0.048307,0.053574,0.099158,0.168184,0.124986,0.180628,0.059230,2.922985,0.549450,0.563860,0.575817,0.564881,0.541133,2.342679,0.000000,0.882124,0.592786,0.944430,0.865483,0.788726,0.865483,0.897717,0.769368,1.136618
50,12:15,0.076785,0.074916,0.091579,0.057487,0.048229,0.181277,0.164747,0.052145,0.049510,0.041068,0.048434,0.050555,0.099859,0.046776,0.050116,0.058927,0.070294,0.075278,0.081335,0.080486,0.072332,0.055028,0.354576,0.262324,0.055245,0.048981,0.052980,0.087640,0.135624,0.123552,0.168011,0.045797,2.961896,0.638163,0.533008,0.579840,0.549418,0.678907,3.472821,0.000000,0.897232,0.897232,0.978087,0.886999,0.762058,1.036308,0.787492,0.558352,0.885725
51,12:30,0.085367,0.076614,0.095816,0.049037,0.042388,0.125244,0.162696,0.049645,0.053902,0.041732,0.055637,0.043288,0.092786,0.050397,0.060262,0.055204,0.080205,0.069333,0.065760,0.077821,0.064191,0.070411,0.332745,0.390228,0.046381,0.036357,0.050513,0.089451,0.160973,0.119175,0.163698,0.051888,3.009145,0.627905,0.489148,0.604611,0.534450,0.518475,3.081956,0.000000,0.678599,0.665184,0.963113,0.752234,0.588600,0.961717,0.724690,0.698294,0.724690
52,12:45,0.078548,0.067374,0.101671,0.045867,0.052715,0.164530,0.148867,0.043852,0.040100,0.037054,0.046307,0.036620,0.090874,0.043683,0.055574,0.039834,0.061634,0.080007,0.081784,0.066649,0.067462,0.076451,0.257858,0.273515,0.046661,0.055450,0.045917,0.096987,0.178174,0.145310,0.158339,0.047928,2.833594,0.640765,0.575190,0.586836,0.616035,0.526129,3.456249,0.000000,0.945942,0.593573,0.992648,0.718669,0.707325,0.878311,0.723495,0.631318,0.925031
